Province,channel2,viewership
Gauteng,Supersport Live Events,2791152
Gauteng,ICC Cricket World Cup 2011,2496360
Gauteng,Channel O,1789200
Gauteng,Trace TV,1622208
Gauteng,SuperSport Blitz,1526784
Gauteng,Africa Magic,1463736
Gauteng,Cartoon Network,1351272
Western Cape,Supersport Live Events,1295658
Gauteng,Boomerang,1216656
Western Cape,ICC Cricket World Cup 2011,1158815
None,Supersport Live Events,1149876
None,ICC Cricket World Cup 2011,1028430
Gauteng,CNN,860520
Western Cape,Channel O,830550
Kwazulu Natal,Supersport Live Events,787878
Western Cape,Trace TV,753032
None,Channel O,737100
Western Cape,SuperSport Blitz,708736
Kwazulu Natal,ICC Cricket World Cup 2011,704665
Mpumalanga,Supersport Live Events,689598
Western Cape,Africa Magic,679469
None,Trace TV,668304
None,SuperSport Blitz,628992
Western Cape,Cartoon Network,627263
Gauteng,E! Entertainment,625368
Mpumalanga,ICC Cricket World Cup 2011,616765
None,Africa Magic,603018
Limpopo,Supersport Live Events,602784
Western Cape,Boomerang,564774
None,Cartoon Network,556686
Limpopo,ICC Cricket World Cup 2011,539120
Kwazulu Natal,Channel O,505050
None,Boomerang,501228
Eastern Cape,Supersport Live Events,470106
Kwazulu Natal,Trace TV,457912
Mpumalanga,Channel O,442050
Kwazulu Natal,SuperSport Blitz,430976
Gauteng,SawSee,427704
Eastern Cape,ICC Cricket World Cup 2011,420455
Kwazulu Natal,Africa Magic,413179
Mpumalanga,Trace TV,400792
Western Cape,CNN,399455
Limpopo,Channel O,386400
Kwazulu Natal,Cartoon Network,381433
Mpumalanga,SuperSport Blitz,377216
Mpumalanga,Africa Magic,361639
 ,Supersport Live Events,357084
None,CNN,354510
Limpopo,Trace TV,350336
Kwazulu Natal,Boomerang,343434
Mpumalanga,Cartoon Network,333853
Limpopo,SuperSport Blitz,329728
 ,ICC Cricket World Cup 2011,319370
Limpopo,Africa Magic,316112
Eastern Cape,Channel O,301350
Mpumalanga,Boomerang,300594
Limpopo,Cartoon Network,291824
Western Cape,E! Entertainment,290297
Eastern Cape,Trace TV,273224
North West,Supersport Live Events,263718
Limpopo,Boomerang,262752
None,E! Entertainment,257634
Eastern Cape,SuperSport Blitz,257152
Free State,Supersport Live Events,255528
Eastern Cape,Africa Magic,246533
Kwazulu Natal,CNN,242905
North West,ICC Cricket World Cup 2011,235865
 ,Channel O,228900
Free State,ICC Cricket World Cup 2011,228540
Eastern Cape,Cartoon Network,227591
Mpumalanga,CNN,212605
 ,Trace TV,207536
Eastern Cape,Boomerang,204918
Western Cape,SawSee,198541
Gauteng,M-Net,197664
 ,SuperSport Blitz,195328
Gauteng,Vuzu,189144
 ,Africa Magic,187262
Limpopo,CNN,185840
Gauteng,DStv Events 1,182328
Kwazulu Natal,E! Entertainment,176527
None,SawSee,176202
 ,Cartoon Network,172874
North West,Channel O,169050
Free State,Channel O,163800
 ,Boomerang,155652
Mpumalanga,E! Entertainment,154507
North West,Trace TV,153272
Free State,Trace TV,148512
Eastern Cape,CNN,144935
North West,SuperSport Blitz,144256
Northern Cape,Supersport Live Events,140868
Free State,SuperSport Blitz,139776
North West,Africa Magic,138299
Limpopo,E! Entertainment,135056
Free State,Africa Magic,134004
North West,Cartoon Network,127673
Northern Cape,ICC Cricket World Cup 2011,125990
Free State,Cartoon Network,123708
Kwazulu Natal,SawSee,120731
North West,Boomerang,114954
Gauteng,Break in transmission,112464
Free State,Boomerang,111384
 ,CNN,110090
Mpumalanga,SawSee,105671
Eastern Cape,E! Entertainment,105329
Limpopo,SawSee,92368
Western Cape,M-Net,91756
Northern Cape,Channel O,90300
Western Cape,Vuzu,87801
Western Cape,DStv Events 1,84637
Northern Cape,Trace TV,81872
None,M-Net,81432
North West,CNN,81305
 ,E! Entertainment,80006
Free State,CNN,78780
None,Vuzu,77922
Northern Cape,SuperSport Blitz,77056
Gauteng,kykNET,76680
None,DStv Events 1,75114
Northern Cape,Africa Magic,73874
Eastern Cape,SawSee,72037
Northern Cape,Cartoon Network,68198
Northern Cape,Boomerang,61404
North West,E! Entertainment,59087
Free State,E! Entertainment,57252
Kwazulu Natal,M-Net,55796
 ,SawSee,54718
Gauteng,MK,54528
Kwazulu Natal,Vuzu,53391
Western Cape,Break in transmission,52206
Kwazulu Natal,DStv Events 1,51467
Mpumalanga,M-Net,48836
Mpumalanga,Vuzu,46731
None,Break in transmission,46332
Mpumalanga,DStv Events 1,45047
Northern Cape,CNN,43430
Limpopo,M-Net,42688
Gauteng,SuperSport Live Events,40896
Limpopo,Vuzu,40848
North West,SawSee,40411
Limpopo,DStv Events 1,39376
Free State,SawSee,39156
Western Cape,kykNET,35595
Eastern Cape,M-Net,33292
Eastern Cape,Vuzu,31857
Kwazulu Natal,Break in transmission,31746
None,kykNET,31590
Northern Cape,E! Entertainment,31562
Eastern Cape,DStv Events 1,30709
Mpumalanga,Break in transmission,27786
Western Cape,MK,25312
 ,M-Net,25288
Limpopo,Break in transmission,24288
 ,Vuzu,24198
 ,DStv Events 1,23326
None,MK,22464
Kwazulu Natal,kykNET,21645
Northern Cape,SawSee,21586
Western Cape,SuperSport Live Events,18984
Mpumalanga,kykNET,18945
Eastern Cape,Break in transmission,18942
North West,M-Net,18676
Free State,M-Net,18096
North West,Vuzu,17871
Free State,Vuzu,17316
North West,DStv Events 1,17227
None,SuperSport Live Events,16848
Free State,DStv Events 1,16692
Limpopo,kykNET,16560
Kwazulu Natal,MK,15392
 ,Break in transmission,14388
Mpumalanga,MK,13472
Eastern Cape,kykNET,12915
Limpopo,MK,11776
Kwazulu Natal,SuperSport Live Events,11544
North West,Break in transmission,10626
Free State,Break in transmission,10296
Mpumalanga,SuperSport Live Events,10104
Northern Cape,M-Net,9976
 ,kykNET,9810
Northern Cape,Vuzu,9546
Northern Cape,DStv Events 1,9202
Eastern Cape,MK,9184
Limpopo,SuperSport Live Events,8832
North West,kykNET,7245
Free State,kykNET,7020
 ,MK,6976
Eastern Cape,SuperSport Live Events,6888
Gauteng,Sawsee,6816
Northern Cape,Break in transmission,5676
 ,SuperSport Live Events,5232
North West,MK,5152
Gauteng,Wimbledon,5112
Free State,MK,4992
Northern Cape,kykNET,3870
North West,SuperSport Live Events,3864
Free State,SuperSport Live Events,3744
Gauteng,Live on SuperSport,3408
Western Cape,Sawsee,3164
None,Sawsee,2808
Northern Cape,MK,2752
Western Cape,Wimbledon,2373
None,Wimbledon,2106
Northern Cape,SuperSport Live Events,2064
Kwazulu Natal,Sawsee,1924
Mpumalanga,Sawsee,1684
Western Cape,Live on SuperSport,1582
Limpopo,Sawsee,1472
Kwazulu Natal,Wimbledon,1443
None,Live on SuperSport,1404
Mpumalanga,Wimbledon,1263
Eastern Cape,Sawsee,1148
Limpopo,Wimbledon,1104
Kwazulu Natal,Live on SuperSport,962
 ,Sawsee,872
Eastern Cape,Wimbledon,861
Mpumalanga,Live on SuperSport,842
Limpopo,Live on SuperSport,736
 ,Wimbledon,654
North West,Sawsee,644
Free State,Sawsee,624
Eastern Cape,Live on SuperSport,574
North West,Wimbledon,483
Free State,Wimbledon,468
 ,Live on SuperSport,436
Northern Cape,Sawsee,344
North West,Live on SuperSport,322
Free State,Live on SuperSport,312
Northern Cape,Wimbledon,258
Northern Cape,Live on SuperSport,172
